Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
A,Agilent Technologies,"'Agilent Technologies': 'A',",Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
AAL,American Airlines Group,"'American Airlines Group': 'AAL',",Industrials,Airlines,"Fort Worth, Texas",3/23/2015,1934
AAP,Advance Auto Parts,"'Advance Auto Parts': 'AAP',",Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932
AAPL,Apple Inc.,"'Apple Inc.': 'AAPL',",Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,1977
ABBV,AbbVie Inc.,"'AbbVie Inc.': 'ABBV',",Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,2013 (1888)
ABC,AmerisourceBergen,"'AmerisourceBergen': 'ABC',",Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1985
ABMD,Abiomed,"'Abiomed': 'ABMD',",Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,1981
ABT,Abbott Laboratories,"'Abbott Laboratories': 'ABT',",Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1888
ACN,Accenture,"'Accenture': 'ACN',",Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ADBE,Adobe Inc.,"'Adobe Inc.': 'ADBE',",Information Technology,Application Software,"San Jose, California",5/5/1997,1982
ADI,"Analog Devices, Inc.","'Analog Devices, Inc.': 'ADI',",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,1965
ADM,Archer-Daniels-Midland Co,"'Archer-Daniels-Midland Co': 'ADM',",Consumer Staples,Agricultural Products,"Chicago, Illinois",7/29/1981,1902
ADP,Automatic Data Processing,"'Automatic Data Processing': 'ADP',",Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/1981,1949
ADSK,Autodesk Inc.,"'Autodesk Inc.': 'ADSK',",Information Technology,Application Software,"San Rafael, California",12/1/1989,1982
AEE,Ameren Corp,"'Ameren Corp': 'AEE',",Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1902
AEP,American Electric Power,"'American Electric Power': 'AEP',",Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906
AES,AES Corp,"'AES Corp': 'AES',",Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,1981
AFL,Aflac,"'Aflac': 'AFL',",Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,1955
AIG,American International Group,"'American International Group': 'AIG',",Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,1919
AIZ,Assurant,"'Assurant': 'AIZ',",Financials,Multi-line Insurance,"New York, New York",4/10/2007,1892
AJG,Arthur J. Gallagher & Co.,"'Arthur J. Gallagher & Co.': 'AJG',",Financials,Insurance Brokers,"Rolling Meadows, Illinois",5/31/2016,1927
AKAM,Akamai Technologies,"'Akamai Technologies': 'AKAM',",Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1998
ALB,Albemarle Corporation,"'Albemarle Corporation': 'ALB',",Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994
ALGN,Align Technology,"'Align Technology': 'ALGN',",Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1997
ALK,Alaska Air Group,"'Alaska Air Group': 'ALK',",Industrials,Airlines,"Seattle, Washington",5/13/2016,1985
ALL,Allstate Corp,"'Allstate Corp': 'ALL',",Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,1931
ALLE,Allegion,"'Allegion': 'ALLE',",Industrials,Building Products,"Dublin, Ireland",12/2/2013,1908
ALXN,Alexion Pharmaceuticals,"'Alexion Pharmaceuticals': 'ALXN',",Health Care,Pharmaceuticals,"Boston, Massachusetts",5/25/2012,1992
AMAT,Applied Materials Inc.,"'Applied Materials Inc.': 'AMAT',",Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,1967
AMCR,Amcor plc,"'Amcor plc': 'AMCR',",Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,2019 (1860)
AMD,Advanced Micro Devices,"'Advanced Micro Devices': 'AMD',",Information Technology,Semiconductors,"Santa Clara, California",,1969
AME,Ametek,"'Ametek': 'AME',",Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1930
AMGN,Amgen Inc.,"'Amgen Inc.': 'AMGN',",Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980
AMP,Ameriprise Financial,"'Ameriprise Financial': 'AMP',",Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,1894
AMT,American Tower Corp.,"'American Tower Corp.': 'AMT',",Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1995
AMZN,Amazon.com Inc.,"'Amazon.com Inc.': 'AMZN',",Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1994
ANET,Arista Networks,"'Arista Networks': 'ANET',",Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,2004
ANSS,"ANSYS, Inc.","'ANSYS, Inc.': 'ANSS',",Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1969
ANTM,Anthem,"'Anthem': 'ANTM',",Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1946)
AON,Aon plc,"'Aon plc': 'AON',",Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,1982 (1919)
AOS,A.O. Smith Corp,"'A.O. Smith Corp': 'AOS',",Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,1916
APA,APA Corporation,"'APA Corporation': 'APA',",Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1954
APD,Air Products & Chemicals,"'Air Products & Chemicals': 'APD',",Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,1940
APH,Amphenol Corp,"'Amphenol Corp': 'APH',",Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,1932
APTV,Aptiv PLC,"'Aptiv PLC': 'APTV',",Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1994
ARE,Alexandria Real Estate Equities,"'Alexandria Real Estate Equities': 'ARE',",Real Estate,Office REITs,"Pasadena, California",3/20/2017,1994
ATO,Atmos Energy,"'Atmos Energy': 'ATO',",Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,1906
ATVI,Activision Blizzard,"'Activision Blizzard': 'ATVI',",Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,2008
AVB,AvalonBay Communities,"'AvalonBay Communities': 'AVB',",Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,1978
AVGO,Broadcom Inc.,"'Broadcom Inc.': 'AVGO',",Information Technology,Semiconductors,"San Jose, California",5/8/2014,1961
AVY,Avery Dennison Corp,"'Avery Dennison Corp': 'AVY',",Materials,Paper Packaging,"Glendale, California",12/31/1987,1990
AWK,American Water Works,"'American Water Works': 'AWK',",Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886
AXP,American Express,"'American Express': 'AXP',",Financials,Consumer Finance,"New York, New York",6/30/1976,1850
AZO,AutoZone Inc,"'AutoZone Inc': 'AZO',",Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,1979
BA,Boeing Company,"'Boeing Company': 'BA',",Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,1916
BAC,Bank of America Corp,"'Bank of America Corp': 'BAC',",Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,1998 (1923 / 1874)
BAX,Baxter International Inc.,"'Baxter International Inc.': 'BAX',",Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,1931
BBY,Best Buy Co. Inc.,"'Best Buy Co. Inc.': 'BBY',",Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,1966
BDX,Becton Dickinson,"'Becton Dickinson': 'BDX',",Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,1897
BEN,Franklin Resources,"'Franklin Resources': 'BEN',",Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
BIIB,Biogen Inc.,"'Biogen Inc.': 'BIIB',",Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,1978
BIO,Bio-Rad Laboratories,"'Bio-Rad Laboratories': 'BIO',",Health Care,Life Sciences Tools & Services,"Hercules, California",6/22/2020,1952
BK,The Bank of New York Mellon,"'The Bank of New York Mellon': 'BK',",Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1784
BKNG,Booking Holdings Inc,"'Booking Holdings Inc': 'BKNG',",Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,1996
BKR,Baker Hughes Co,"'Baker Hughes Co': 'BKR',",Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,2017
BLK,BlackRock,"'BlackRock': 'BLK',",Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1988
