Date,Open,High,Low,Close,Adj Close,Volume
2011-05-23,14.949999809265137,14.949999809265137,14.949999809265137,14.949999809265137,12.392491340637207,0
2011-05-24,14.949999809265137,14.949999809265137,14.949999809265137,14.949999809265137,12.392491340637207,0
2011-05-25,14.949999809265137,14.949999809265137,14.949999809265137,14.949999809265137,12.480145454406738,0
2011-05-26,14.949999809265137,15.0,14.949999809265137,15.0,12.521883964538574,2000
2011-05-27,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-05-31,14.989999771118164,15.0,14.989999771118164,15.0,12.521883964538574,2400
2011-06-01,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-02,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-03,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-06,14.75,14.75,14.75,14.75,12.313185691833496,200
2011-06-07,14.75,14.75,14.75,14.75,12.313185691833496,0
2011-06-08,14.75,14.75,14.75,14.75,12.313185691833496,0
2011-06-09,14.75,15.0,14.75,15.0,12.521883964538574,1100
2011-06-10,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-13,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-14,15.0,15.0,15.0,15.0,12.521883964538574,0
2011-06-15,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,11.770569801330566,300
2011-06-16,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,11.770569801330566,2200
2011-06-17,13.989999771118164,14.0,13.989999771118164,14.0,11.687090873718262,500
2011-06-20,14.0,14.0,14.0,14.0,11.687090873718262,500
2011-06-21,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-06-22,14.0,14.0,14.0,14.0,11.687090873718262,2600
2011-06-23,14.5,14.5,14.5,14.5,12.104487419128418,300
2011-06-24,14.5,14.5,14.5,14.5,12.104487419128418,200
2011-06-27,14.800000190734863,15.0,14.25,14.25,11.895791053771973,3100
2011-06-28,14.25,14.25,14.25,14.25,11.895791053771973,0
2011-06-29,14.100000381469727,14.5,14.100000381469727,14.5,12.104487419128418,1400
2011-06-30,14.5,14.5,14.5,14.5,12.104487419128418,200
2011-07-01,14.100000381469727,14.5,13.75,14.25,11.895791053771973,11500
2011-07-05,14.25,14.25,14.25,14.25,11.895791053771973,0
2011-07-06,14.5,14.5,14.5,14.5,12.104487419128418,300
2011-07-07,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-08,14.0,14.0,14.0,14.0,11.687090873718262,1000
2011-07-11,14.0,14.0,14.0,14.0,11.687090873718262,1500
2011-07-12,14.5,14.5,14.5,14.5,12.104487419128418,200
2011-07-13,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-14,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-15,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-18,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-19,14.5,14.5,14.5,14.5,12.104487419128418,0
2011-07-20,14.25,14.25,14.25,14.25,11.895791053771973,400
2011-07-21,14.25,14.25,14.25,14.25,11.895791053771973,0
2011-07-22,14.25,14.25,14.25,14.25,11.895791053771973,0
2011-07-25,14.25,14.25,14.25,14.25,11.895791053771973,0
2011-07-26,14.0,14.0,14.0,14.0,11.687090873718262,700
2011-07-27,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-07-28,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-07-29,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-08-01,14.0,14.0,14.0,14.0,11.687090873718262,300
2011-08-02,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-08-03,14.0,14.0,14.0,14.0,11.687090873718262,0
2011-08-04,14.100000381469727,14.199999809265137,14.100000381469727,14.199999809265137,11.854050636291504,13000
2011-08-05,14.199999809265137,14.199999809265137,14.199999809265137,14.199999809265137,11.854050636291504,0
2011-08-08,13.850000381469727,13.850000381469727,13.699999809265137,13.699999809265137,11.436654090881348,1000
2011-08-09,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-10,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-11,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-12,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-15,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-16,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-17,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.436654090881348,0
2011-08-18,13.699999809265137,13.75,13.699999809265137,13.75,11.478395462036133,1100
2011-08-19,13.75,13.75,13.75,13.75,11.478395462036133,0
2011-08-22,13.75,13.75,13.75,13.75,11.478395462036133,1000
2011-08-23,13.75,13.75,13.75,13.75,11.478395462036133,0
2011-08-24,13.75,13.75,13.75,13.75,11.478395462036133,0
2011-08-25,13.75,13.75,13.75,13.75,11.478395462036133,1000
2011-08-26,13.75,13.75,13.75,13.75,11.478395462036133,0
2011-08-29,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11.394913673400879,100
2011-08-30,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11.394913673400879,0
2011-08-31,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11.394913673400879,0
2011-09-01,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11.394913673400879,0
2011-09-02,13.649999618530273,13.649999618530273,13.649999618530273,13.649999618530273,11.394913673400879,0
2011-09-06,13.600000381469727,13.600000381469727,13.5,13.5,11.269693374633789,500
2011-09-07,13.5,13.5,13.5,13.5,11.269693374633789,0
2011-09-08,13.5,13.5,13.5,13.5,11.269693374633789,300
2011-09-09,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-09-12,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-09-13,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-09-14,13.25,13.25,13.25,13.25,11.147701263427734,200
2011-09-15,13.25,13.25,13.25,13.25,11.147701263427734,0
2011-09-16,13.350000381469727,13.350000381469727,13.350000381469727,13.350000381469727,11.231833457946777,900
2011-09-19,13.350000381469727,13.350000381469727,13.350000381469727,13.350000381469727,11.231833457946777,0
2011-09-20,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,500
2011-09-21,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,0
2011-09-22,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,0
2011-09-23,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,0
2011-09-26,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,0
2011-09-27,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.526302337646484,0
2011-09-28,13.25,13.5,13.25,13.5,11.358034133911133,10200
2011-09-29,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-09-30,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-10-03,13.5,13.5,13.5,13.5,11.358034133911133,0
2011-10-04,13.199999809265137,13.199999809265137,13.0,13.0,10.937369346618652,600
2011-10-05,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-10-06,14.25,14.25,14.25,14.25,11.989039421081543,200
2011-10-07,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-10,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-11,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-12,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-13,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-14,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-17,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-18,13.25,14.25,13.25,14.25,11.989039421081543,1200
2011-10-19,14.0,14.0,13.050000190734863,13.050000190734863,10.979435920715332,2500
2011-10-20,13.050000190734863,13.25,12.050000190734863,12.5,10.516700744628906,3300
2011-10-21,12.550000190734863,13.75,12.550000190734863,13.75,11.56836986541748,1700
2011-10-24,14.0,14.0,14.0,14.0,11.778705596923828,2600
2011-10-25,14.25,14.25,14.25,14.25,11.989039421081543,1300
2011-10-26,14.25,14.25,14.25,14.25,11.989039421081543,0
2011-10-27,14.0,14.0,14.0,14.0,11.778705596923828,1900
2011-10-28,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-10-31,13.0,13.0,13.0,13.0,10.937369346618652,200
2011-11-01,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-11-02,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-11-03,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-11-04,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-11-07,13.0,13.0,13.0,13.0,10.937369346618652,0
2011-11-08,13.300000190734863,13.300000190734863,13.25,13.25,11.147701263427734,400
2011-11-09,13.050000190734863,13.050000190734863,13.050000190734863,13.050000190734863,10.979435920715332,1000
2011-11-10,13.050000190734863,13.050000190734863,13.050000190734863,13.050000190734863,10.979435920715332,0
2011-11-11,14.0,14.0,14.0,14.0,11.778705596923828,600
2011-11-14,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-15,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-16,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-17,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-18,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-21,14.0,14.0,14.0,14.0,11.778705596923828,0
2011-11-22,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,11.825328826904297,200
2011-11-23,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,11.825328826904297,0
2011-11-25,13.949999809265137,13.949999809265137,13.949999809265137,13.949999809265137,11.825328826904297,0
2011-11-28,13.300000190734863,13.300000190734863,13.300000190734863,13.300000190734863,11.274327278137207,1200
2011-11-29,13.25,13.25,13.25,13.25,11.231943130493164,5500
2011-11-30,13.449999809265137,13.600000381469727,13.449999809265137,13.5,11.443863868713379,2900
2011-12-01,13.5,13.5,13.5,13.5,11.443863868713379,900
2011-12-02,13.5,13.5,13.5,13.5,11.443863868713379,0
2011-12-05,13.5,13.550000190734863,13.5,13.550000190734863,11.486249923706055,10000
2011-12-06,13.5,13.5,13.5,13.5,11.443863868713379,500
2011-12-07,13.5,13.5,13.5,13.5,11.443863868713379,0
2011-12-08,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.613402366638184,500
2011-12-09,13.699999809265137,13.699999809265137,13.699999809265137,13.699999809265137,11.613402366638184,0
2011-12-12,14.0,14.0,14.0,14.0,11.867712020874023,600
2011-12-13,14.0,14.0,14.0,14.0,11.867712020874023,5000
2011-12-14,14.0,14.0,14.0,14.0,11.867712020874023,1800
2011-12-15,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-16,14.0,14.0,14.0,14.0,11.867712020874023,400
2011-12-19,14.0,14.0,14.0,14.0,11.867712020874023,800
2011-12-20,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-21,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-22,14.0,14.0,14.0,14.0,11.867712020874023,700
2011-12-23,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-27,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-28,14.0,14.0,14.0,14.0,11.867712020874023,0
2011-12-29,14.0,14.0,14.0,14.0,11.867712020874023,700
2011-12-30,14.0,14.0,14.0,14.0,11.867712020874023,0
2012-01-03,14.0,14.0,14.0,14.0,11.867712020874023,0
2012-01-04,14.25,14.25,14.0,14.25,12.07963752746582,700
2012-01-05,14.25,14.25,14.25,14.25,12.07963752746582,0
