Date,Open,High,Low,Close,Adj Close,Volume
2011-05-23,230.0,230.0,214.0,222.0,222.0,79
2011-05-24,221.0,221.0,210.0,210.0,210.0,54
2011-05-25,212.0,212.0,191.0,193.0,193.0,301
2011-05-26,186.0,186.0,170.0,177.0,177.0,394
2011-05-27,180.0,186.0,180.0,181.0,181.0,123
2011-05-31,183.0,200.0,181.0,198.0,198.0,289
2011-06-01,200.0,200.0,185.0,196.0,196.0,269
2011-06-02,194.0,200.0,190.0,190.0,190.0,37
2011-06-03,190.0,191.0,190.0,191.0,191.0,51
2011-06-06,193.0,193.0,189.0,193.0,193.0,99
2011-06-07,192.0,193.0,190.0,192.0,192.0,124
2011-06-08,191.0,193.0,190.0,190.0,190.0,31
2011-06-09,190.0,195.0,190.0,195.0,195.0,56
2011-06-10,193.0,196.0,189.0,190.0,190.0,204
2011-06-13,190.0,210.0,190.0,209.0,209.0,504
2011-06-14,212.0,223.0,212.0,222.0,222.0,224
2011-06-15,222.0,222.0,207.0,210.0,210.0,116
2011-06-16,211.0,214.0,205.0,214.0,214.0,182
2011-06-17,216.0,219.0,206.0,209.0,209.0,116
2011-06-20,208.0,210.0,200.0,209.0,209.0,127
2011-06-21,209.0,220.0,206.0,209.0,209.0,94
2011-06-22,213.0,227.0,213.0,217.0,217.0,89
2011-06-23,222.0,222.0,202.0,202.0,202.0,98
2011-06-24,216.0,220.0,201.0,215.0,215.0,58
2011-06-27,213.0,215.0,202.0,215.0,215.0,183
2011-06-28,211.0,221.0,209.0,212.0,212.0,596
2011-06-29,222.0,222.0,203.0,215.0,215.0,283
2011-06-30,215.0,215.0,192.0,202.0,202.0,320
2011-07-01,202.0,210.0,190.0,210.0,210.0,333
2011-07-05,206.0,210.0,201.0,210.0,210.0,64
2011-07-06,208.0,210.0,198.0,210.0,210.0,139
2011-07-07,209.0,210.0,205.0,206.0,206.0,16
2011-07-08,209.0,210.0,205.0,210.0,210.0,30
2011-07-11,210.0,210.0,199.0,208.0,208.0,193
2011-07-12,200.0,209.0,196.0,196.0,196.0,95
2011-07-13,200.0,210.0,191.0,191.0,191.0,164
2011-07-14,197.0,208.0,187.0,198.0,198.0,68
2011-07-15,197.0,199.0,187.0,187.0,187.0,19
2011-07-18,191.0,193.0,190.0,193.0,193.0,21
2011-07-19,192.0,200.0,188.0,188.0,188.0,29
2011-07-20,190.0,195.0,188.0,188.0,188.0,29
2011-07-21,188.0,199.0,188.0,191.0,191.0,34
2011-07-22,194.0,198.0,188.0,198.0,198.0,55
2011-07-25,194.0,200.0,192.0,192.0,192.0,58
2011-07-26,195.0,195.0,190.0,193.0,193.0,22
2011-07-27,193.0,195.0,187.0,191.0,191.0,173
2011-07-28,192.0,198.0,191.0,192.0,192.0,31
2011-07-29,194.0,198.0,191.0,197.0,197.0,49
2011-08-01,195.0,195.0,187.0,195.0,195.0,40
2011-08-02,189.0,193.0,181.0,182.0,182.0,66
2011-08-03,188.0,194.0,188.0,190.0,190.0,27
2011-08-04,190.0,190.0,179.0,179.0,179.0,80
2011-08-05,176.0,188.0,151.0,188.0,188.0,326
2011-08-08,185.0,185.0,150.0,179.0,179.0,276
2011-08-09,178.0,178.0,150.0,154.0,154.0,123
2011-08-10,155.0,172.0,152.0,152.0,152.0,95
2011-08-11,156.0,164.0,146.0,158.0,158.0,278
2011-08-12,177.0,177.0,168.0,168.0,168.0,55
2011-08-15,185.0,185.0,152.0,172.0,172.0,207
2011-08-16,179.0,179.0,172.0,178.0,178.0,76
2011-08-17,179.0,180.0,156.0,169.0,169.0,77
2011-08-18,167.0,170.0,150.0,167.0,167.0,264
2011-08-19,159.0,160.0,141.0,154.0,154.0,345
2011-08-22,159.0,159.0,139.0,147.0,147.0,179
2011-08-23,151.0,151.0,133.0,145.0,145.0,121
2011-08-24,143.0,143.0,122.0,137.0,137.0,370
2011-08-25,138.0,141.0,131.0,139.0,139.0,49
2011-08-26,134.0,134.0,130.0,133.0,133.0,104
2011-08-29,134.0,139.0,132.0,139.0,139.0,34
2011-08-30,141.0,142.0,141.0,142.0,142.0,43
2011-08-31,142.0,142.0,130.0,130.0,130.0,206
2011-09-01,133.0,139.0,133.0,139.0,139.0,49
2011-09-02,137.0,139.0,128.0,139.0,139.0,113
2011-09-06,129.0,142.0,129.0,131.0,131.0,36
2011-09-07,133.0,139.0,120.0,134.0,134.0,570
2011-09-08,132.0,135.0,124.0,131.0,131.0,52
2011-09-09,130.0,130.0,100.0,115.0,115.0,1848
2011-09-12,116.0,117.0,110.0,110.0,110.0,115
2011-09-13,114.0,120.0,99.0,99.0,99.0,1020
2011-09-14,100.0,103.0,99.0,100.0,100.0,393
2011-09-15,101.0,101.0,99.0,101.0,101.0,261
2011-09-16,100.0,101.0,100.0,101.0,101.0,153
2011-09-19,100.0,101.0,93.0,100.0,100.0,161
2011-09-20,100.0,101.0,100.0,100.0,100.0,166
2011-09-21,97.0,100.0,95.0,100.0,100.0,146
2011-09-22,100.0,100.0,95.0,95.0,95.0,70
2011-09-23,101.0,101.0,98.0,98.0,98.0,68
2011-09-26,95.0,100.0,95.0,96.0,96.0,101
2011-09-27,97.0,100.0,97.0,98.0,98.0,86
2011-09-28,100.0,100.0,76.0,90.0,90.0,200
2011-09-29,97.0,105.0,94.0,105.0,105.0,439
2011-09-30,102.0,123.0,96.0,120.0,120.0,953
2011-10-03,120.0,125.0,111.0,115.0,115.0,221
2011-10-04,109.0,119.0,106.0,115.0,115.0,262
2011-10-05,111.0,134.0,109.0,116.0,116.0,359
2011-10-06,119.0,119.0,109.0,116.0,116.0,140
2011-10-07,117.0,119.0,107.0,116.0,116.0,129
2011-10-10,110.0,127.0,110.0,122.0,122.0,80
2011-10-11,115.0,120.0,115.0,116.0,116.0,7
2011-10-12,118.0,123.0,110.0,123.0,123.0,164
2011-10-13,121.0,127.0,115.0,126.0,126.0,22
2011-10-14,129.0,130.0,120.0,124.0,124.0,157
2011-10-17,134.0,134.0,125.0,126.0,126.0,52
2011-10-18,130.0,134.0,125.0,128.0,128.0,131
2011-10-19,134.0,134.0,134.0,134.0,134.0,10
2011-10-20,134.0,139.0,130.0,130.0,130.0,133
2011-10-21,128.0,133.0,125.0,125.0,125.0,40
2011-10-24,118.0,131.0,118.0,129.0,129.0,92
2011-10-25,127.0,134.0,120.0,134.0,134.0,414
2011-10-26,126.0,139.0,126.0,135.0,135.0,87
2011-10-27,137.0,143.0,127.0,139.0,139.0,96
2011-10-28,140.0,141.0,124.0,140.0,140.0,23
2011-10-31,140.0,140.0,135.0,135.0,135.0,31
2011-11-01,134.0,137.0,119.0,132.0,132.0,124
2011-11-02,125.0,130.0,120.0,122.0,122.0,117
