Date,Open,High,Low,Close,Adj Close,Volume
2011-05-23,14.0,14.0,14.0,14.0,14.0,3675
2011-05-24,14.0,14.0,14.0,14.0,14.0,70
2011-05-25,14.0,14.0,14.0,14.0,14.0,516
2011-05-26,14.0,14.0,14.0,14.0,14.0,0
2011-05-27,14.0,14.0,14.0,14.0,14.0,100
2011-05-31,14.0,14.0,14.0,14.0,14.0,0
2011-06-01,14.0,14.0,14.0,14.0,14.0,0
2011-06-02,14.0,14.0,14.0,14.0,14.0,0
2011-06-03,14.0,14.0,14.0,14.0,14.0,0
2011-06-06,14.0,14.0,10.0,10.0,10.0,8
2011-06-07,10.0,10.0,10.0,10.0,10.0,0
2011-06-08,10.0,10.0,10.0,10.0,10.0,0
2011-06-09,10.0,10.0,10.0,10.0,10.0,0
2011-06-10,10.0,10.0,10.0,10.0,10.0,7
2011-06-13,10.0,10.0,10.0,10.0,10.0,0
2011-06-14,10.0,10.0,10.0,10.0,10.0,0
2011-06-15,10.0,10.0,10.0,10.0,10.0,0
2011-06-16,10.0,10.0,10.0,10.0,10.0,0
2011-06-17,10.0,10.0,10.0,10.0,10.0,0
2011-06-20,10.0,10.0,10.0,10.0,10.0,0
2011-06-21,14.0,14.0,14.0,14.0,14.0,351
2011-06-22,14.0,14.0,14.0,14.0,14.0,0
2011-06-23,10.0,10.0,10.0,10.0,10.0,50
2011-06-24,10.0,10.0,10.0,10.0,10.0,325
2011-06-27,10.0,14.0,10.0,14.0,14.0,5401
2011-06-28,14.0,14.0,14.0,14.0,14.0,50
2011-06-29,12.0,12.0,12.0,12.0,12.0,1
2011-06-30,12.0,12.0,12.0,12.0,12.0,0
2011-07-01,14.0,18.0,14.0,18.0,18.0,475
2011-07-05,18.0,22.0,18.0,22.0,22.0,481
2011-07-06,24.0,102.0,24.0,30.0,30.0,732
2011-07-07,30.0,40.0,30.0,40.0,40.0,176
2011-07-08,40.0,40.0,36.0,36.0,36.0,280
2011-07-11,36.0,44.0,36.0,36.0,36.0,246
2011-07-12,38.0,44.0,36.0,40.0,40.0,716
2011-07-13,40.0,40.0,40.0,40.0,40.0,250
2011-07-14,44.0,48.0,40.0,48.0,48.0,125
2011-07-15,38.0,48.0,38.0,42.0,42.0,264
2011-07-18,42.0,50.0,36.0,50.0,50.0,552
2011-07-19,50.0,50.0,34.0,48.0,48.0,2891
2011-07-20,48.0,48.0,48.0,48.0,48.0,0
2011-07-21,36.0,48.0,36.0,48.0,48.0,99
2011-07-22,40.0,40.0,36.0,36.0,36.0,326
2011-07-25,40.0,40.0,40.0,40.0,40.0,5
2011-07-26,36.0,36.0,36.0,36.0,36.0,125
2011-07-27,34.0,34.0,30.0,34.0,34.0,1518
2011-07-28,32.0,34.0,32.0,34.0,34.0,55
2011-07-29,38.0,38.0,38.0,38.0,38.0,28
2011-08-01,32.0,32.0,32.0,32.0,32.0,5
2011-08-02,38.0,38.0,38.0,38.0,38.0,3
2011-08-03,38.0,38.0,38.0,38.0,38.0,7
2011-08-04,32.0,38.0,32.0,38.0,38.0,21
2011-08-05,38.0,38.0,38.0,38.0,38.0,0
2011-08-08,38.0,38.0,38.0,38.0,38.0,0
2011-08-09,32.0,34.0,30.0,30.0,30.0,478
2011-08-10,34.0,34.0,34.0,34.0,34.0,2
2011-08-11,34.0,34.0,34.0,34.0,34.0,0
2011-08-12,34.0,34.0,34.0,34.0,34.0,2
2011-08-15,34.0,34.0,34.0,34.0,34.0,0
2011-08-16,34.0,34.0,34.0,34.0,34.0,8
2011-08-17,30.0,30.0,24.0,24.0,24.0,164
2011-08-18,24.0,24.0,24.0,24.0,24.0,50
2011-08-19,24.0,24.0,24.0,24.0,24.0,0
2011-08-22,24.0,24.0,24.0,24.0,24.0,0
2011-08-23,24.0,34.0,24.0,34.0,34.0,4
2011-08-24,34.0,34.0,34.0,34.0,34.0,0
2011-08-25,34.0,34.0,34.0,34.0,34.0,75
2011-08-26,36.0,46.0,36.0,46.0,46.0,275
2011-08-29,46.0,46.0,46.0,46.0,46.0,0
2011-08-30,44.0,44.0,44.0,44.0,44.0,1
2011-08-31,44.0,44.0,44.0,44.0,44.0,0
2011-09-01,44.0,44.0,44.0,44.0,44.0,0
2011-09-02,30.0,36.0,30.0,36.0,36.0,64
2011-09-06,36.0,36.0,36.0,36.0,36.0,0
2011-09-07,18.0,30.0,18.0,30.0,30.0,48
2011-09-08,30.0,30.0,30.0,30.0,30.0,0
2011-09-09,30.0,30.0,30.0,30.0,30.0,0
2011-09-12,30.0,30.0,30.0,30.0,30.0,0
2011-09-13,30.0,30.0,30.0,30.0,30.0,97
2011-09-14,30.0,36.0,30.0,36.0,36.0,311
2011-09-15,36.0,36.0,36.0,36.0,36.0,2
2011-09-16,30.0,36.0,30.0,36.0,36.0,8
2011-09-19,36.0,36.0,36.0,36.0,36.0,25
2011-09-20,36.0,36.0,36.0,36.0,36.0,0
2011-09-21,44.0,44.0,36.0,36.0,36.0,1381
2011-09-22,36.0,36.0,36.0,36.0,36.0,0
2011-09-23,36.0,36.0,36.0,36.0,36.0,0
2011-09-26,36.0,36.0,36.0,36.0,36.0,0
2011-09-27,34.0,34.0,26.0,26.0,26.0,92
2011-09-28,30.0,30.0,30.0,30.0,30.0,430
2011-09-29,30.0,30.0,30.0,30.0,30.0,371
2011-09-30,30.0,30.0,30.0,30.0,30.0,0
2011-10-03,26.0,30.0,26.0,28.0,28.0,570
2011-10-04,22.0,34.0,22.0,22.0,22.0,634
2011-10-05,22.0,22.0,22.0,22.0,22.0,0
2011-10-06,30.0,30.0,22.0,28.0,28.0,68
2011-10-07,26.0,34.0,26.0,34.0,34.0,575
2011-10-10,26.0,26.0,26.0,26.0,26.0,20
2011-10-11,26.0,26.0,26.0,26.0,26.0,0
2011-10-12,32.0,32.0,26.0,26.0,26.0,593
2011-10-13,26.0,26.0,26.0,26.0,26.0,0
2011-10-14,28.0,28.0,28.0,28.0,28.0,25
2011-10-17,30.0,30.0,30.0,30.0,30.0,76
2011-10-18,30.0,30.0,28.0,28.0,28.0,100
2011-10-19,28.0,30.0,28.0,30.0,30.0,21
2011-10-20,30.0,30.0,30.0,30.0,30.0,0
2011-10-21,30.0,30.0,30.0,30.0,30.0,0
2011-10-24,28.0,28.0,28.0,28.0,28.0,20
2011-10-25,28.0,28.0,28.0,28.0,28.0,4
2011-10-26,28.0,28.0,28.0,28.0,28.0,0
2011-10-27,26.0,26.0,26.0,26.0,26.0,36
2011-10-28,26.0,26.0,26.0,26.0,26.0,0
2011-10-31,26.0,30.0,26.0,30.0,30.0,15
2011-11-01,32.0,36.0,32.0,36.0,36.0,90
2011-11-02,36.0,36.0,36.0,36.0,36.0,0
2011-11-03,32.0,32.0,32.0,32.0,32.0,13
2011-11-04,32.0,32.0,26.0,26.0,26.0,81
2011-11-07,12.0,32.0,10.0,26.0,26.0,658
2011-11-08,32.0,32.0,24.0,26.0,26.0,374
2011-11-09,26.0,26.0,26.0,26.0,26.0,30
2011-11-10,26.0,26.0,26.0,26.0,26.0,0
2011-11-11,26.0,26.0,26.0,26.0,26.0,0
2011-11-14,26.0,26.0,26.0,26.0,26.0,25
2011-11-15,24.0,24.0,24.0,24.0,24.0,3
2011-11-16,26.0,26.0,26.0,26.0,26.0,10
2011-11-17,26.0,26.0,26.0,26.0,26.0,0
2011-11-18,26.0,26.0,26.0,26.0,26.0,0
2011-11-21,26.0,26.0,26.0,26.0,26.0,0
2011-11-22,26.0,26.0,26.0,26.0,26.0,0
2011-11-23,26.0,30.0,26.0,30.0,30.0,134
2011-11-25,30.0,30.0,30.0,30.0,30.0,0
2011-11-28,30.0,30.0,30.0,30.0,30.0,2
2011-11-29,30.0,30.0,30.0,30.0,30.0,25
2011-11-30,30.0,30.0,30.0,30.0,30.0,3
2011-12-01,32.0,32.0,32.0,32.0,32.0,5
2011-12-02,32.0,32.0,32.0,32.0,32.0,0
2011-12-05,30.0,30.0,30.0,30.0,30.0,3
2011-12-06,30.0,30.0,30.0,30.0,30.0,4
2011-12-07,30.0,30.0,30.0,30.0,30.0,25
2011-12-08,30.0,30.0,30.0,30.0,30.0,95
2011-12-09,30.0,30.0,30.0,30.0,30.0,71
2011-12-12,30.0,30.0,30.0,30.0,30.0,146
2011-12-13,30.0,30.0,30.0,30.0,30.0,25
2011-12-14,30.0,30.0,30.0,30.0,30.0,84
2011-12-15,30.0,30.0,30.0,30.0,30.0,0
2011-12-16,30.0,30.0,30.0,30.0,30.0,0
2011-12-19,16.0,32.0,16.0,32.0,32.0,36
2011-12-20,32.0,32.0,32.0,32.0,32.0,15
2011-12-21,32.0,32.0,32.0,32.0,32.0,0
2011-12-22,22.0,32.0,22.0,32.0,32.0,20
2011-12-23,32.0,32.0,32.0,32.0,32.0,0
2011-12-27,32.0,32.0,32.0,32.0,32.0,0
2011-12-28,32.0,32.0,32.0,32.0,32.0,0
2011-12-29,32.0,32.0,32.0,32.0,32.0,0
2011-12-30,18.0,18.0,16.0,16.0,16.0,46
2012-01-03,16.0,16.0,16.0,16.0,16.0,0
2012-01-04,16.0,16.0,16.0,16.0,16.0,0
2012-01-05,16.0,16.0,16.0,16.0,16.0,0
2012-01-06,16.0,16.0,16.0,16.0,16.0,0
2012-01-09,16.0,16.0,16.0,16.0,16.0,0
2012-01-10,16.0,16.0,16.0,16.0,16.0,0
2012-01-11,16.0,16.0,16.0,16.0,16.0,0
2012-01-12,16.0,16.0,16.0,16.0,16.0,0
2012-01-13,16.0,16.0,16.0,16.0,16.0,0
2012-01-17,18.0,18.0,18.0,18.0,18.0,48
2012-01-18,18.0,18.0,18.0,18.0,18.0,0
2012-01-19,18.0,18.0,18.0,18.0,18.0,0
2012-01-20,18.0,18.0,18.0,18.0,18.0,0
2012-01-23,18.0,18.0,18.0,18.0,18.0,0
2012-01-24,18.0,18.0,18.0,18.0,18.0,0
2012-01-25,18.0,18.0,18.0,18.0,18.0,0
2012-01-26,18.0,18.0,18.0,18.0,18.0,0
2012-01-27,18.0,18.0,18.0,18.0,18.0,0
2012-01-30,18.0,18.0,18.0,18.0,18.0,0
2012-01-31,18.0,18.0,18.0,18.0,18.0,0
2012-02-01,18.0,18.0,18.0,18.0,18.0,0
2012-02-02,18.0,18.0,18.0,18.0,18.0,0
2012-02-03,18.0,18.0,18.0,18.0,18.0,0
2012-02-06,18.0,18.0,18.0,18.0,18.0,0
2012-02-07,26.0,26.0,26.0,26.0,26.0,2
2012-02-08,26.0,26.0,26.0,26.0,26.0,2
2012-02-09,26.0,26.0,26.0,26.0,26.0,0
2012-02-10,26.0,26.0,26.0,26.0,26.0,0
2012-02-13,26.0,26.0,26.0,26.0,26.0,0
2012-02-14,26.0,26.0,26.0,26.0,26.0,41
2012-02-15,26.0,26.0,26.0,26.0,26.0,0
2012-02-16,26.0,26.0,26.0,26.0,26.0,0
2012-02-17,26.0,26.0,26.0,26.0,26.0,0
2012-02-21,16.0,16.0,16.0,16.0,16.0,25
2012-02-22,16.0,16.0,16.0,16.0,16.0,0
2012-02-23,26.0,26.0,26.0,26.0,26.0,25
2012-02-24,26.0,26.0,26.0,26.0,26.0,15
2012-02-27,26.0,26.0,26.0,26.0,26.0,0
2012-02-28,16.0,16.0,16.0,16.0,16.0,25
2012-02-29,16.0,16.0,16.0,16.0,16.0,0
2012-03-01,16.0,16.0,16.0,16.0,16.0,0
2012-03-02,16.0,16.0,16.0,16.0,16.0,0
2012-03-05,16.0,16.0,16.0,16.0,16.0,0
2012-03-06,16.0,16.0,16.0,16.0,16.0,0
2012-03-07,16.0,16.0,16.0,16.0,16.0,0
2012-03-08,16.0,16.0,16.0,16.0,16.0,0
2012-03-09,16.0,16.0,16.0,16.0,16.0,0
2012-03-12,16.0,16.0,16.0,16.0,16.0,0
2012-03-13,16.0,16.0,16.0,16.0,16.0,0
2012-03-14,22.0,22.0,22.0,22.0,22.0,5
2012-03-15,26.0,26.0,26.0,26.0,26.0,87
2012-03-16,26.0,26.0,26.0,26.0,26.0,0
2012-03-19,26.0,26.0,26.0,26.0,26.0,0
2012-03-20,26.0,26.0,26.0,26.0,26.0,0
2012-03-21,26.0,26.0,26.0,26.0,26.0,0
2012-03-22,26.0,26.0,26.0,26.0,26.0,0
2012-03-23,26.0,26.0,26.0,26.0,26.0,0
2012-03-26,26.0,26.0,26.0,26.0,26.0,0
2012-03-27,26.0,26.0,26.0,26.0,26.0,46
2012-03-28,26.0,26.0,26.0,26.0,26.0,0
2012-03-29,26.0,26.0,26.0,26.0,26.0,0
2012-03-30,26.0,26.0,26.0,26.0,26.0,0
2012-04-02,20.0,20.0,20.0,20.0,20.0,2
2012-04-03,20.0,20.0,20.0,20.0,20.0,0
2012-04-04,20.0,20.0,20.0,20.0,20.0,0
2012-04-05,20.0,20.0,20.0,20.0,20.0,0
2012-04-09,20.0,20.0,20.0,20.0,20.0,0
2012-04-10,20.0,20.0,20.0,20.0,20.0,0
2012-04-11,20.0,20.0,20.0,20.0,20.0,0
2012-04-12,20.0,20.0,20.0,20.0,20.0,0
2012-04-13,20.0,20.0,20.0,20.0,20.0,5
2012-04-16,20.0,20.0,20.0,20.0,20.0,0
2012-04-17,20.0,20.0,20.0,20.0,20.0,0
2012-04-18,20.0,20.0,16.0,16.0,16.0,94
2012-04-19,16.0,16.0,16.0,16.0,16.0,0
2012-04-20,16.0,16.0,16.0,16.0,16.0,25
2012-04-23,16.0,16.0,16.0,16.0,16.0,0
2012-04-24,16.0,16.0,16.0,16.0,16.0,0
2012-04-25,16.0,16.0,16.0,16.0,16.0,0
2012-04-26,16.0,16.0,16.0,16.0,16.0,0
2012-04-27,16.0,16.0,16.0,16.0,16.0,0
2012-04-30,16.0,16.0,16.0,16.0,16.0,5
2012-05-01,16.0,16.0,16.0,16.0,16.0,0
2012-05-02,16.0,16.0,16.0,16.0,16.0,0
2012-05-03,16.0,16.0,16.0,16.0,16.0,0
2012-05-04,16.0,16.0,16.0,16.0,16.0,0
2012-05-07,16.0,16.0,16.0,16.0,16.0,0
2012-05-08,16.0,16.0,16.0,16.0,16.0,0
2012-05-09,16.0,16.0,16.0,16.0,16.0,0
2012-05-10,16.0,16.0,16.0,16.0,16.0,6
2012-05-11,16.0,16.0,16.0,16.0,16.0,0
2012-05-14,16.0,16.0,16.0,16.0,16.0,0
2012-05-15,16.0,16.0,16.0,16.0,16.0,0
2012-05-16,16.0,16.0,16.0,16.0,16.0,0
2012-05-17,16.0,16.0,16.0,16.0,16.0,0
2012-05-18,16.0,16.0,16.0,16.0,16.0,0
2012-05-21,16.0,16.0,16.0,16.0,16.0,0
2012-05-22,16.0,16.0,16.0,16.0,16.0,0
2012-05-23,16.0,16.0,16.0,16.0,16.0,16
2012-05-24,16.0,16.0,16.0,16.0,16.0,0
2012-05-25,16.0,16.0,16.0,16.0,16.0,0
2012-05-29,16.0,16.0,16.0,16.0,16.0,0
2012-05-30,16.0,16.0,16.0,16.0,16.0,0
2012-05-31,16.0,16.0,16.0,16.0,16.0,0
2012-06-01,16.0,16.0,16.0,16.0,16.0,0
2012-06-04,16.0,16.0,16.0,16.0,16.0,0
2012-06-05,16.0,16.0,16.0,16.0,16.0,0
2012-06-06,16.0,16.0,16.0,16.0,16.0,0
2012-06-07,16.0,16.0,8.0,8.0,8.0,38
2012-06-08,8.0,8.0,8.0,8.0,8.0,0
2012-06-11,8.0,8.0,8.0,8.0,8.0,0
2012-06-12,8.0,8.0,8.0,8.0,8.0,0
2012-06-13,8.0,8.0,8.0,8.0,8.0,0
2012-06-14,8.0,8.0,8.0,8.0,8.0,0
2012-06-15,8.0,8.0,8.0,8.0,8.0,0
2012-06-18,8.0,8.0,8.0,8.0,8.0,0
2012-06-19,8.0,8.0,8.0,8.0,8.0,0
2012-06-20,8.0,8.0,8.0,8.0,8.0,0
2012-06-21,8.0,8.0,8.0,8.0,8.0,0
2012-06-22,8.0,8.0,8.0,8.0,8.0,0
2012-06-25,8.0,8.0,8.0,8.0,8.0,0
2012-06-26,8.0,8.0,8.0,8.0,8.0,0
2012-06-27,8.0,8.0,8.0,8.0,8.0,0
2012-06-28,8.0,8.0,8.0,8.0,8.0,0
2012-06-29,8.0,8.0,8.0,8.0,8.0,0
2012-07-02,20.0,20.0,20.0,20.0,20.0,3
2012-07-03,20.0,20.0,20.0,20.0,20.0,0
2012-07-05,20.0,20.0,20.0,20.0,20.0,0
2012-07-06,20.0,20.0,20.0,20.0,20.0,0
2012-07-09,20.0,20.0,20.0,20.0,20.0,0
2012-07-10,20.0,20.0,20.0,20.0,20.0,0
2012-07-11,20.0,20.0,20.0,20.0,20.0,0
2012-07-12,20.0,20.0,20.0,20.0,20.0,0
2012-07-13,20.0,20.0,20.0,20.0,20.0,17
2012-07-16,20.0,20.0,20.0,20.0,20.0,0
2012-07-17,20.0,20.0,20.0,20.0,20.0,0
2012-07-18,20.0,20.0,20.0,20.0,20.0,0
2012-07-19,20.0,20.0,20.0,20.0,20.0,0
2012-07-20,20.0,20.0,20.0,20.0,20.0,0
2012-07-23,20.0,20.0,20.0,20.0,20.0,25
2012-07-24,20.0,20.0,20.0,20.0,20.0,0
2012-07-25,20.0,20.0,20.0,20.0,20.0,0
2012-07-26,20.0,20.0,20.0,20.0,20.0,0
2012-07-27,20.0,20.0,20.0,20.0,20.0,0
2012-07-30,20.0,20.0,20.0,20.0,20.0,15
2012-07-31,20.0,20.0,20.0,20.0,20.0,0
2012-08-01,20.0,20.0,20.0,20.0,20.0,0
2012-08-02,20.0,20.0,20.0,20.0,20.0,0
2012-08-03,20.0,20.0,20.0,20.0,20.0,0
2012-08-06,20.0,20.0,20.0,20.0,20.0,0
2012-08-07,20.0,20.0,20.0,20.0,20.0,0
2012-08-08,20.0,20.0,20.0,20.0,20.0,0
2012-08-09,20.0,20.0,20.0,20.0,20.0,0
2012-08-10,20.0,20.0,20.0,20.0,20.0,0
2012-08-13,20.0,20.0,20.0,20.0,20.0,0
2012-08-14,20.0,20.0,20.0,20.0,20.0,0
2012-08-15,20.0,20.0,20.0,20.0,20.0,0
2012-08-16,20.0,20.0,20.0,20.0,20.0,0
2012-08-17,20.0,20.0,20.0,20.0,20.0,495
2012-08-20,20.0,20.0,20.0,20.0,20.0,0
2012-08-21,20.0,20.0,20.0,20.0,20.0,0
2012-08-22,20.0,20.0,20.0,20.0,20.0,0
2012-08-23,26.0,26.0,24.0,24.0,24.0,20
2012-08-24,24.0,24.0,24.0,24.0,24.0,0
2012-08-27,24.0,24.0,24.0,24.0,24.0,28
2012-08-28,24.0,24.0,24.0,24.0,24.0,0
2012-08-29,20.0,20.0,20.0,20.0,20.0,500
2012-08-30,20.0,20.0,20.0,20.0,20.0,261
2012-08-31,20.0,20.0,20.0,20.0,20.0,0
2012-09-04,20.0,20.0,20.0,20.0,20.0,0
2012-09-05,20.0,20.0,20.0,20.0,20.0,0
2012-09-06,32.0,32.0,32.0,32.0,32.0,5
2012-09-07,32.0,32.0,32.0,32.0,32.0,0
2012-09-10,32.0,32.0,32.0,32.0,32.0,0
2012-09-11,20.0,20.0,20.0,20.0,20.0,282
2012-09-12,16.0,16.0,16.0,16.0,16.0,13
2012-09-13,16.0,16.0,16.0,16.0,16.0,15
2012-09-14,16.0,16.0,16.0,16.0,16.0,0
2012-09-17,16.0,16.0,16.0,16.0,16.0,0
2012-09-18,16.0,16.0,16.0,16.0,16.0,0
2012-09-19,16.0,16.0,16.0,16.0,16.0,0
2012-09-20,16.0,16.0,16.0,16.0,16.0,8
2012-09-21,32.0,32.0,32.0,32.0,32.0,7
2012-09-24,32.0,32.0,32.0,32.0,32.0,0
2012-09-25,32.0,32.0,32.0,32.0,32.0,0
2012-09-26,32.0,32.0,32.0,32.0,32.0,0
2012-09-27,16.0,16.0,16.0,16.0,16.0,25
2012-09-28,16.0,16.0,16.0,16.0,16.0,0
2012-10-01,16.0,16.0,16.0,16.0,16.0,0
2012-10-02,16.0,16.0,16.0,16.0,16.0,0
2012-10-03,16.0,16.0,16.0,16.0,16.0,0
2012-10-04,10.0,10.0,10.0,10.0,10.0,25
2012-10-05,10.0,10.0,10.0,10.0,10.0,5
2012-10-08,10.0,10.0,10.0,10.0,10.0,0
2012-10-09,10.0,10.0,10.0,10.0,10.0,0
2012-10-10,10.0,10.0,10.0,10.0,10.0,0
2012-10-11,10.0,10.0,10.0,10.0,10.0,25
2012-10-12,10.0,10.0,10.0,10.0,10.0,0
2012-10-15,10.0,10.0,10.0,10.0,10.0,0
2012-10-16,10.0,10.0,10.0,10.0,10.0,0
2012-10-17,10.0,10.0,10.0,10.0,10.0,0
2012-10-18,10.0,10.0,10.0,10.0,10.0,0
2012-10-19,10.0,10.0,10.0,10.0,10.0,0
